,index,longitude,latitude,obtained_at,created_at,number
0,1200,37.52605104,126.75187591,2024-01-10 10:39:36,2024-01-10 10:39:37,139
1,1201,37.51183981,126.7491744,2024-01-10 10:43:56,2024-01-10 10:43:57,139
2,1203,37.4886193,126.74678992,2024-01-10 10:48:56,2024-01-10 10:48:56,139
3,1205,37.45614416,126.79624066,2024-01-10 10:53:57,2024-01-10 10:53:58,139
4,1207,37.4023162,126.84132632,2024-01-10 10:58:58,2024-01-10 10:58:59,139
5,1208,37.35305147,126.86195552,2024-01-10 11:03:58,2024-01-10 11:03:59,139
6,1209,37.32292284,126.9099778,2024-01-10 11:08:59,2024-01-10 11:09:00,139
7,1210,37.32034621,126.96849388,2024-01-10 11:14:00,2024-01-10 11:14:00,139
8,1211,37.30339929,127.04382954,2024-01-10 11:19:01,2024-01-10 11:19:02,139
9,1212,37.28355062,127.10356754,2024-01-10 11:24:01,2024-01-10 11:24:01,139
10,1214,37.23311283,127.10690304,2024-01-10 11:29:02,2024-01-10 11:29:02,139
11,1216,37.16978286,127.09301915,2024-01-10 11:34:02,2024-01-10 11:34:03,139
12,1218,37.11123739,127.11389031,2024-01-10 11:39:03,2024-01-10 11:39:04,139
13,1220,37.04165218,127.13746523,2024-01-10 11:44:03,2024-01-10 11:44:04,139
14,1223,36.96627875,127.17312849,2024-01-10 11:49:03,2024-01-10 11:49:04,139
15,1225,36.89333395,127.18919652,2024-01-10 11:54:04,2024-01-10 11:54:05,139
16,1226,36.81902165,127.16615507,2024-01-10 11:59:05,2024-01-10 11:59:06,139
17,1227,36.76344403,127.21104027,2024-01-10 12:04:05,2024-01-10 12:04:06,139
18,1228,36.73429236,127.28841262,2024-01-10 12:09:06,2024-01-10 12:09:06,139
19,1229,36.69264752,127.35498273,2024-01-10 12:14:07,2024-01-10 12:14:08,139
20,1233,36.61742418,127.38901135,2024-01-10 12:19:07,2024-01-10 12:19:08,139
21,1234,36.55314561,127.43200386,2024-01-10 12:24:08,2024-01-10 12:24:09,139
22,1236,36.4873555,127.4294581,2024-01-10 12:29:08,2024-01-10 12:29:09,139
23,1237,36.48291839,127.43054373,2024-01-10 12:34:43,2024-01-10 12:34:44,139
24,1238,36.41291594,127.42228742,2024-01-10 12:39:43,2024-01-10 12:39:44,139
25,1239,36.39687868,127.35056986,2024-01-10 12:44:44,2024-01-10 12:44:44,139
26,1240,36.36453555,127.33714677,2024-01-10 12:49:44,2024-01-10 12:49:45,139
27,1241,36.36310302,127.34710307,2024-01-10 12:55:16,2024-01-10 12:55:17,139
28,1242,36.36310302,127.34710307,2024-01-10 13:04:46,2024-01-10 13:04:47,143
29,1260,36.3637292,127.35928795,2024-01-10 15:53:51,2024-01-10 15:53:52,143
30,1261,36.37487196,127.38404792,2024-01-10 15:56:02,2024-01-10 15:56:03,143
31,1262,36.37559381,127.39214154,2024-01-10 16:01:05,2024-01-10 16:01:06,143
32,1263,36.38034378,127.38503397,2024-01-10 16:11:36,2024-01-10 16:11:37,143
33,1264,36.38400733,127.36667709,2024-01-10 16:17:00,2024-01-10 16:17:01,143
34,1275,36.38699523,127.35006189,2024-01-10 19:08:48,2024-01-10 19:08:49,143
35,1278,36.38320422,127.36751417,2024-01-10 20:29:51,2024-01-10 20:29:52,143
36,1279,36.38510366,127.37273791,2024-01-10 20:37:26,2024-01-10 20:37:27,143
37,1280,36.38566746,127.3782815,2024-01-10 23:07:44,2024-01-10 23:07:46,143
